title,Контент,post_url,publishing_date,category
Спортсмены Марий Эл начнут получать антисанкционные выплаты,"
Спортсмены Марий Эл начнут получать антисанкционные выплаты С 12 декабря в республике Марий Эл начала действовать мера поддержки для спортсменов и тренеров. Она будет выплачиваться за высокие спортивные результаты. Об этом сообщает Министерство спорта и туризма республики Марий Эл. Правительство республики утвердило постановление, в котором говорится о том, что для спортсменов и тренеров будет выплачиваться единовременное денежное вознаграждение. Оно положено тем спортсменам, которые показали высокие спортивные результаты на официальных всероссийских и международных соревнованиях. Денежное пособие ввели для того, чтобы поддержать наших спортсменов, пока действуют санкции против атлетов.  В 2023 году выплаты будут перечислены спортсменам и тренерам за их успехи, достигнутые в 2022 году.  Высокое вознаграждение получат участники Олимпийских, Паралимпийских и Сурдлимпийских игр. За первое место спортсмен получит один миллион рублей, за второе - 800 тысяч рублей, за третье место – 500. Участники самых престижных в мире соревнований получат 200 тысяч рублей. За победу в чемпионате или кубке мира по олимпийским видам спорта положено 500 тысяч рублей, за второе и третье места - 300 тысяч рублей и 200 тысяч рублей. Первое, второе и третье места первенств мира и Всемирных универсиад оценены в 300 тысяч рублей, 200 тысяч рублей и 100 тысяч рублей.  Спортсмены, занявшие пьедестал чемпионатов России, получат 80 тысяч рублей, 50 тысяч рублей и 30 тысяч рублей, а в первенстве страны – 50 тысяч рублей, 30 тысяч рублей и 15 тысяч рублей. Это с условием участия в соревнованиях не менее 25 стран.",https://pg12.ru/news/70876,"Tue, 20 Dec 22 13:55:00 +0300",Новости
Более 20 водителей не уступили дорогу пешеходам в Марий Эл,"
Более 20 водителей не уступили дорогу пешеходам в Марий Эл За минувшие сутки на дорогах Марий Эл было неспокойно. Были многочисленные нарушения правил дорожного движения как со стороны водителей, так и со стороны пешеходов. Об этом сообщает пресс-служба ГИБДД МВД по Республике Марий Эл.  Комплексы фотовидеофиксации административных нарушений выявили более 1,5 тысяч нарушений водителями скоростного режима. Также было обнаружено около 20 случаев пренебрежения правилами применения ремней безопасности. Пешие нарушители выявлены во многих районах республики. В Йошкар-Оле обнаружены нарушители правил дорожного движения, а в Волжском, Горномарийском, Советском и Моркинском районах к ответственности привлечены пешеходы, не использовавшие световозвращатели при движении по загородным трассам. Также выявили больше 20 случаев, в которых водитель не уступил дорогу пешеходу.  Сотрудники государственной автомобильной инспекции отстранили от управления транспортными средствами 3 водителей за вождение в пьяном виде. Один из автомобилистов попался повторно, за что теперь ему грозит уголовная ответственность.",https://pg12.ru/news/70874,"Tue, 20 Dec 22 13:00:00 +0300",Новости
Более 20 водителей не уступили дорогу пешеходам в Марий Эл,"
Более 20 водителей не уступили дорогу пешеходам в Марий Эл За минувшие сутки на дорогах Марий Эл было неспокойно. Были многочисленные нарушения правил дорожного движения как со стороны водителей, так и со стороны пешеходов. Об этом сообщает пресс-служба ГИБДД МВД по Республике Марий Эл.  Комплексы фотовидеофиксации административных нарушений выявили более 1,5 тысяч нарушений водителями скоростного режима. Также было обнаружено около 20 случаев пренебрежения правилами применения ремней безопасности. Пешие нарушители выявлены во многих районах республики. В Йошкар-Оле обнаружены нарушители правил дорожного движения, а в Волжском, Горномарийском, Советском и Моркинском районах к ответственности привлечены пешеходы, не использовавшие световозвращатели при движении по загородным трассам. Также выявили больше 20 случаев, в которых водитель не уступил дорогу пешеходу.  Сотрудники государственной автомобильной инспекции отстранили от управления транспортными средствами 3 водителей за вождение в пьяном виде. Один из автомобилистов попался повторно, за что теперь ему грозит уголовная ответственность.",https://pg12.ru/news/70872,"Tue, 20 Dec 22 13:00:00 +0300",Новости
"Подполковник из Марий Эл, которого наградил Путин за военный подвиг, прилетел в республику","
Подполковник из Марий Эл, которого наградил Путин за военный подвиг, прилетел в республикуОн встретился с Юрием Зайцевым 8 декабря Президент России Владимир Путин вручил звезды Героя за заслуги перед государством и народом. Среди награжденных был замкомандира 31-й отдельной гвардейской десантно-штурмовой бригады ВДВ подполковник из Марий Эл Сергей Иштуганов. 19 декабря с ним встретился Юрий Зайцев. Об этом сообщают в пресс-службе главы республики. Глава региона поблагодарил Сергея Иштуганова за проявленное мужество и верность воинскому долгу. Он также отметил, что подполковник настоящий герой своей земли и нашей Великой России.  “Уверен, что Ваш опыт, знания и мужество пригодятся в воспитании молодых бойцов. На Вашем примере, станут истинными патриотами наше подрастающее поколение”, - подчеркнул в ходе беседы Юрий Зайцев.  В свою очередь Сергей Иштуганов поблагодарил Главу Марий Эл за уделенное время и отметил, что Золотая Звезда обязывает быть более дисциплинированным и с большей самоотдачей подходить к назначенному делу. Помимо этого, Герой России поблагодарил главу за оказываемую поддержку мобилизованным из Марий Эл.  В заключении встречи Юрий Зайцев пожелал подполковнику крепкого здоровья и успехов в служении Родине.",https://pg12.ru/news/70875,"Tue, 20 Dec 22 12:20:00 +0300",Новости
"Житель Марий Эл напал на судебного пристава: ""В моем организме сидела сущность""",Морозным утром судебные приставы выехали по населенным пунктам Горномарийского района. По одному из адресов дверь им открыл отец должника. Служители закона предоставили удостоверения и объяснили причину визита. Они предложили мужчине пройти в дом для пров,https://pg12.ru/news/70871,"Tue, 20 Dec 22 11:07:00 +0300",Новости
"Жители Юледура проводили в последний путь погибшего на СВО героя: ""Был шустрым""","
Жители Юледура проводили в последний путь погибшего на СВО героя: ""Был шустрым"" 19 декабря состоялись похороны участника специальной военной операции. Он был выпускником Юледурской средней школы. Об этом сообщает Муниципальное бюджетное общеобразовательное учреждение “Юледурская СОШ”.  Погибшего звали Сальников Юрий Андреевич. Он был участников специальной военной операции. Погиб 8 октября на полях сражения. Был посмертно награжден медалью “За Отвагу”.  У людей, которые были с ним знакомы, остались только положительные впечатления о нем. Они отзываются о нем, как о шустром молодом человеке. Всегда был ответственным за спортивные мероприятия и соревнования. Был трудолюбивым. Комментировать в Telegram-канале:",https://pg12.ru/news/70870,"Tue, 20 Dec 22 10:45:00 +0300",Новости
Через два года некоторые жители Моркинского района смогут пить воду прямо из-под крана,"
Через два года некоторые жители Моркинского района смогут пить воду прямо из-под крана В 2023 году в Моркинском районе начнется работа по реконструкции системы водоснабжения. Она позволит снабдить население качественной водой из систем централизованного водоснабжения. Об этом есть данные на сайте госзакупок.  Реконструкция коснется следующих объектов Моркинского района: деревня Коркатово; поселок Октябрьский; поселок Зеленогорск. Стоимость работ в деревне Коркатово составит 20 779 319 рублей. В поселке Октябрьский - 18 584 539 рублей, а в поселке Зеленогорск - 18 703 903 рубля.  Работы планируют начать в мае 2023 года, а завершить к 31 июля 2024 года. Предположительная дата ввода объектов в эксплуатацию - 10 августа 2024 года. ",https://pg12.ru/news/70869,"Tue, 20 Dec 22 10:23:00 +0300",Новости
Ранним утром в Волжске загорелось частное хозяйство,"
Ранним утром в Волжске загорелось частное хозяйство 20 декабря ранним утром в Волжске произошел пожар. Горело частное хозяйство. Об этом сообщает ""Марийская правда"".  Сообщение о пожаре поступило на пульт дежурного диспетчера в 4 часа 16 минут. Звонивший сообщил, что в Волжске на улице первая Луговая горит частный дом. На место тушения пожара отправились 18 пожарных и 4 специальные машины. Возгорание было локализовано. Кроме постройки больше никто не пострадал.",https://pg12.ru/news/70866,"Tue, 20 Dec 22 09:35:00 +0300",Новости
Автомобилистов Марий Эл предупреждают о закрытии двух трасс,"Во вторник, 20 декабря, планируется перекрытие участков автодорог Куяр-Солнечный-Ронга ориентировочно с 11:30 до 13:00 и с 19:00 до 21:00. Также водители не смогут проехать по трассе Йошкар-Ола – Зеленодольск (Казанский тракт) с с 20 декабря 21:00 до 1:00",https://pg12.ru/news/70868,"Tue, 20 Dec 22 09:30:00 +0300",Новости
Банк «Открытие» запустил кредитную карту для предпринимателей,Кредитную бизнес-карту могут получить действующие клиенты банка «Открытие» из сегмента малого и среднего бизнеса по предодобренному предложению.,https://pg12.ru/companies/70867,"Tue, 20 Dec 22 09:20:00 +0300",Новости компаний
Департамент по охране животного мира в Марий Эл возглавил Николай Щурков,Распоряжение № 331 подписал глава Марий Эл Юрий Зайцев.,https://www.marimedia.ru/news/politics/item/144170/,"Wed, 21 Dec 2022 11:18:00 +0300",Политика
Парламентарии Марий Эл снимают шары желаний с «Ёлки желаний»,Государственное Собрание Республики Марий Эл присоединилось к благотворительной акции «Ёлка желаний».,https://www.marimedia.ru/news/society/item/144168/,"Wed, 21 Dec 2022 11:07:00 +0300",Общество
«Твоя история с билайном»: спектакль по мотивам рассказов победителей уже на билайн ТВ и ВКонтакте,"билайн подвел итоги масштабного конкурса «Твоя история с билайном», приуроченного к 30-летию компании.",https://www.marimedia.ru/news/business/item/144166/,"Wed, 21 Dec 2022 11:00:00 +0300",Бизнес
Послание Путина Федеральному собранию перенесли на следующий год,Послание президента страны Федеральному собранию должно состояться на следующий год.,https://www.marimedia.ru/news/russia/item/144164/,"Wed, 21 Dec 2022 10:27:00 +0300",Россия
Для украшения главной ёлки марийской столицы используют 9 км гирлянд,Площадь Ленина в Йошкар-Оле с каждым днём всё больше приобретает праздничный вид.,https://www.marimedia.ru/news/yola/item/144160/,"Wed, 21 Dec 2022 10:12:00 +0300",Йошкар-Ола
В Йошкар-Оле 134 семьи из аварийных домов передут в новые квартиры,Юрий Зайцев лично вручил йошкаролинцам ключи от квартир в недавно построенном десятиэтажном доме в микрорайоне «Мирный».,https://www.marimedia.ru/news/yola/item/144162/,"Wed, 21 Dec 2022 10:11:00 +0300",Йошкар-Ола
На три дня ограничили движение у Республиканского театра кукол в Йошкар-Оле,Ограничения будут действовать с 21 по 23 декабря.,https://www.marimedia.ru/news/transport/item/144158/,"Wed, 21 Dec 2022 09:45:00 +0300",Транспорт
В этом году в Марий Эл было выявлено 7 фейков,"Все фейковые новости были оперативно опровергнуты региональными и муниципальными органами власти, а также СМИ.",https://www.marimedia.ru/news/society/item/144156/,"Wed, 21 Dec 2022 09:26:00 +0300",Общество
