Заголовок,Контент,Ссылка,Дата публикации,Категория
Минсельхоз отказался от цели потребления рыбы не менее 25 кг в год на человека,"Минсельхоз убрал из целей госпрограммы «Развитие рыбохозяйственного комплекса» достижение потребления рыбопродуктов в объеме не менее 25 кг в год на человека. Об этом сказано в проекте постановления, опубликованном на портале правовых актов.",https://www.kommersant.ru/doc/5887719,2023-03-21 10:11,Бизнес
"Верховный суд объяснил, могут ли за преступления против военной службы привлекать гражданских","Лица, не являющиеся военнослужащими, могут понести наказание за преступление против военной службы только в качестве организаторов, подстрекателей и пособников. Об этом говорится в разъяснениях, приведенных в проекте постановления Верховного суда (ВС) РФ.",https://www.kommersant.ru/doc/5887715,2023-03-21 10:08,Общество
40% компаний в России сократили финансирование ESG-политики,"Решение о сокращении финансирования ESG (политики социальной ответственности и устойчивого развития) в 2022 году приняли 40% российских компаний, следует из опроса группы «Михайлов и партнеры». О планах скорректировать ESG-стратегию в 2023 году сообщили 52% компаний.",https://www.kommersant.ru/doc/5887716,2023-03-21 10:06,Бизнес
«Авито Недвижимость»: за три года сильнее всего снизилась площадь однушек в Москве и Сочи,"Средняя площадь однокомнатных квартир и студий в России в январе—марте 2023 года составила 37 кв. м, выяснил портал «Авито Недвижимость». Средняя площадь однушки — 39 кв. м, студии — 26 кв. м. По его данным, за последние три года сильнее всего уменьшилась площадь однокомнатных квартир и студий в новостройках в Сочи и в Москве — на 15,6% и 12,8% соответственно.",https://www.kommersant.ru/doc/5887684,2023-03-21 10:00,Бизнес
"Экспорт СПГ США в Европу за год вырос почти в 2,5 раза","В 2022 году экспорт американского сжиженного природного газа (СПГ) в Европу вырос до 117,4 млн куб. м. Это почти в 2,5 раза больше, чем годом ранее (47,8 млн куб. м), следует из доклада (.pdf) Совета экономических консультантов при Белом доме. Согласно документу, перебои в поставках, «связанные с вторжением России на Украину», оказали существенное влияние на экспорт энергоносителей США, особенно СПГ и сырой нефти.",https://www.kommersant.ru/doc/5887707,2023-03-21 09:57,Бизнес
В Джанкое из-за атаки беспилотников ввели режим ЧС,В Джанкое ввели режим чрезвычайной ситуации муниципального уровня после атаки беспилотников. Об этом сообщил глава администрации города Игорь Ивин.,https://www.kommersant.ru/doc/5887698,2023-03-21 09:34,Происшествия
«Ведомости»: налоговая служба направила иск о банкротстве сети магазинов шуб Elena Furs,"Налоговая служба 14 марта подала в Арбитражный суд Москвы иск о банкротстве ООО «Елена Фурс», которое занимается продажей шуб. Сумма долга и дата рассмотрения заявления не названы, сообщают «Ведомости».",https://www.kommersant.ru/doc/5887694,2023-03-21 09:31,Бизнес
Экологи попросили Путина отменить статус иностранного агента WWF,Природоохранные и экологические организации и общественные объединения России направили письмо президенту страны Владимиру Путину с просьбой отменить решение о внесении Всемирного фонда дикой природы (WWF) в реестр иностранных агентов. Письмо подписали представители 62 организаций.,https://www.kommersant.ru/doc/5887687,2023-03-21 09:21,Общество
Австралия не намерена вставать на сторону США в случае конфликта с Китаем из-за Тайваня,"Министр обороны Австралии Ричард Марлес отрицает, что его страна обещала США поддержку в случае конфликта с Китаем из-за Тайваня в обмен на американские атомные подлодки. Об их передаче было объявлено на прошлой неделе в рамках альянса Австралии, Великобритании и США в сфере безопасности.",https://www.kommersant.ru/doc/5887676,2023-03-21 09:13,Мир
В Москве к сотрудникам «Мемориала» пришли с обысками,"Следователи пришли с обыском к сотрудникам общества «Мемориал» (признано иностранным агентом и ликвидировано), которые проживают в Москве. Об этом представители правозащитной организации сообщили в Telegram-канале.",https://www.kommersant.ru/doc/5887675,2023-03-21 09:03,Общество
ВШЭ разработала нейросеть для оценки этичности российских законов,"Факультет права Высшей школы экономики (ВШЭ) разработал нейросеть для оценки этичности российских законов. С ее помощью создадут сайт «Индекс этичности права», на котором можно будет проверить любой нормативный правовой акт, который содержит «нравственно-оценочный контент», сообщили ТАСС в пресс-службе НИУ ВШЭ.",https://www.kommersant.ru/doc/5887666,2023-03-21 08:54,Общество
«Известия»: Минпромторг хочет запретить импорт товаров из пластика,"Минпромторг планирует предложить правительству ввести запрет на поставки из-за рубежа товаров из пластика, в том числе одноразовой посуды и пакетов. Их предлагают заменить биоразлагаемыми аналогами, изделиями из стекла, бумаги и дерева, сообщают «Известия».",https://www.kommersant.ru/doc/5887654,2023-03-21 08:38,Бизнес
