Заголовок,Контент,Ссылка,Дата публикации,Категория
"МИД: Россия, Китай и АСЕАН создадут альтернативные торговые механизмы на фоне санкций","Россия вместе с Китаем, АСЕАН и Латинской Америкой будет создавать альтернативные торговые, транспортные и расчетные механизмы, заявил в интервью ТАСС замглавы МИД РФ Александр Панкин. По его словам, на эти меры идут из-за санкций западных стран.",https://www.kommersant.ru/doc/5843489,2023-02-28 12:22,Мир
Небо над Санкт-Петербургом открыто для полетов,Ограничения на использование воздушного пространства в Санкт-Петербурге сняты. Источники «Ъ» в аэропорту Пулково подтвердили снятие ограничений.,https://www.kommersant.ru/doc/5843486,2023-02-28 12:04,Бизнес
Саратовский депутат предложил платить оставшимся в регионе выпускникам вузов,"В Саратовскую областную думу внесен законопроект, направленный на «повышение привлекательности промышленного комплекса области для выпускников образовательных организаций» и сокращение оттока выпускников из региона. Документ в заксобрание внес депутат от ЛДПР Станислав Денисенко.",https://www.kommersant.ru/doc/5843460,2023-02-28 12:01,Политика
Авиакомпания «Россия» скорректировала выполнение рейсов из-за закрытия Пулково,Авиакомпания «Россия» скорректировала выполнение семи рейсов в и из Санкт-Петербурга из-за ограничения использования воздушного пространства над аэропортом Пулково. Один рейс — FV 6018 — был возвращен обратно во Внуково.,https://www.kommersant.ru/doc/5843471,2023-02-28 11:52,Бизнес
Депозитарные расписки «Русагро» заменят акции «Детского мира» в индексе Мосбиржи,"Московская биржа с 17 марта изменит базы расчета индексов акций, а также установит значения коэффициентов и дополнительных ограничительных коэффициентов для ценных бумаг нескольких эмитентов, сообщила пресс-служба биржевого холдинга. В рамках этих изменений депозитарные расписки иностранного эмитента «Русагро» войдут в базу расчета индексов Мосбиржи и РТС вместо акций компании «Детский мир», которая в ноябре объявила о превращении из публичной в частную.",https://www.kommersant.ru/doc/5843448,2023-02-28 11:51,Бизнес
В Бурятии участников спецоперации освободили от транспортного налога,"Народный хурал Бурятии сегодня, 28 февраля, на очередной сессии принял законопроект об освобождении от уплаты транспортного налога участников СВО и членов их семей, разработанный минэкономики региона и внесенный главой региона Алексеем Цыденовым. Как сообщили «Ъ» в пресс-службе парламента, законопроект принят единогласно.",https://www.kommersant.ru/doc/5843455,2023-02-28 11:48,Политика
Подачу воды в Красноперекопске и Евпатории обещают возобновить до конца дня,"Аварийно-восстановительные работы на магистральном водоводе в Евпатории и Красноперекопском районе будут завершены до конца сегодняшнего дня, заявил губернатор Крыма Сергей Аксенов. По его словам, к устранению аварии привлечено более десяти ремонтных бригад.",https://www.kommersant.ru/doc/5843449,2023-02-28 11:44,Происшествия
Счетная палата предложила улучшить систему планирования выездных проверок ФНС,"Система критериев риска, которую использует Федеральная налоговая служба (ФНС) России при планировании выездных налоговых проверок (ВНП), нуждается в улучшении. К такому выводу пришла Счетная палата по итогам анализа проведения ВНП в 2019–2021 годах.",https://www.kommersant.ru/doc/5843458,2023-02-28 11:39,Экономика
FT: Shell могла перенести штаб-квартиру в США,"Руководство Shell рассматривало в 2021 году возможность переноса штаб-квартиры компании в США, сообщает Financial Times (FT). Одним из тех, кто поддерживал эту идею, был нынешний генеральный директор энергетической компании Ваэль Саван, утверждают источники газеты.",https://www.kommersant.ru/doc/5843320,2023-02-28 11:31,Бизнес
Хакеры RaHDit представили доказательства службы обвиняемой в убийстве Дугиной в нацгвардии Украины,"Хакеры группировки RaHDit («Злые русские хакеры») опубликовали материалы, в которых утверждается, что обвиняемая в убийстве политолога и журналистки Дарьи Дугиной Наталья Вовк служила в 12-й бригаде нацгвардии Украины. Как сообщает «РИА Новости», для доказательства своих данных хакеры привели справку с подписью командира 12-й бригады украинской нацгвардии полковника Александра Крячко.",https://www.kommersant.ru/doc/5843443,2023-02-28 11:29,Происшествия
